哈TV有线,#genre#
amc電影台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_69_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
美麗人生購物台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_70_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
CINEMAX(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_71_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
緯來體育台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_72_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
DAZN 1,http://58.99.33.2:1935/liveedge4/ywYSMkid_73_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
DAZN 2,http://58.99.33.2:1935/liveedge4/ywYSMkid_74_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
MOMO綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_75_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯運動一台 (HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_76_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
海豚綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_77_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
民俗才藝(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_78_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
緯來日本台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_79_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
國興衛視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_80_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
冠軍夢想台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_81_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
信吉電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_82_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
生活資訊台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_83_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
AXN(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_84_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
寰宇新聞台,http://58.99.33.2:1935/liveedge4/ywYSMkid_85_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
信大電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_86_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
緯來育樂台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_87_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
三立財經新聞台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_88_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
雙子衛視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_89_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
靖天購物一台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_90_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
台灣綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_91_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
LS TIME電影台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_92_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
全球財經網頻道(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_93_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
誠心電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_94_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
非凡商業台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_95_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
台灣藝術台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_96_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
運通財經,http://58.99.33.2:1935/liveedge4/ywYSMkid_97_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Z頻道(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_98_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
霹靂台灣台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_99_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
MTV綜合電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_100_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
BBC Lifestyle Channel(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_101_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
十方法界電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_102_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
華藏衛星電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_103_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
